round_id,player_id,dealer_upcard,dealer_hand_value,hand_start_value,hand_final_value,hand_result,actions,cards,bet,profit/loss
88,0,6,23,18,18,Win,S,"['Q', 8]",1,1
89,0,1,17,19,17,Push,HHS,"[4, 5, 7, 'A']",1,0
90,0,6,17,19,19,Win,S,"['Q', 9]",1,1
91,0,10,18,16,20,Win,HS,"[9, 7, 4]",1,1
92,0,10,19,17,17,Loss,S,"[10, 7]",1,-1
93,0,5,20,9,17,Loss,D,"[6, 3, 8]",2,-2
94,0,10,24,15,20,Win,HS,"['K', 5, 5]",1,1
95,0,10,22,18,18,Win,S,"['K', 8]",1,1
96,0,10,20,15,17,Loss,HS,"['J', 5, 2]",1,-1
97,0,1,17,13,23,Bust,H,"['K', 3, 'Q']",1,-1
98,0,1,21,11,21,Push,D,"[3, 8, 'Q']",2,0
99,0,9,26,9,19,Win,HS,"[3, 6, 'Q']",1,1
100,0,2,21,13,13,Loss,S,"[7, 6]",1,-1
